email,original_email
example@gmail.com,example@gmail.com
test@yahoo.com,test@yahoo.com
hello@outlook.com,hello@outlook.com
gnail.com,gnail.com
test1@gmail.com,test1@gmail.com
test2@gmail.com,test2@gmail.com
duplicate@gmail.com,duplicate@gmail.com
user@hotmail.com,user@hotmail.com
someone@yahoo.com,someone@yahoo.com
junkdata,junkdata
foo@bar.com,foo@bar.com
john.doe@icloud.com,john.doe@icloud.com
jane_doe@icloud.com,jane_doe@icloud.com
bademail@@gmail.com,bademail@@gmail.com
space@gmail.com,space@gmail.com
uppercase@gmail.com,uppercase@gmail.com
invalid,invalid
sample@company.com,sample@company.com
demo@company.com,demo@company.com
placeholder,placeholder
test@outlook.com,test@outlook.com
wrong@domain.com,wrong@domain.com
hello.world@gmail.com,hello.world@gmail.com
helloworld@gmail.com,helloworld@gmail.com
contact@site.org,contact@site.org
info@site.org,info@site.org
data@n/a,data@n/a
admin@test.com,admin@test.com
random@random.com,random@random.com
another@domain.com,another@domain.com
address@hotmail.com,address@hotmail.com
valid@email.com,valid@email.com
example@email.com,example@email.com
duplicate2@yahoo.com,duplicate2@yahoo.com
first.last@gmail.com,first.last@gmail.com
firstname.lastname@gmail.com,firstname.lastname@gmail.com
user1@gmail.com,user1@gmail.com
user2@gmail.com,user2@gmail.com
user3@gmail.com,user3@gmail.com
email1@hotmail.com,email1@hotmail.com
email2@hotmail.com,email2@hotmail.com
email3@hotmail.com,email3@hotmail.com
email4@hotmail.com,email4@hotmail.com
userx@yahoo.com,userx@yahoo.com
usery@yahoo.com,usery@yahoo.com
userz@yahoo.com,userz@yahoo.com
wrong@yahoo.com,wrong@yahoo.com
test3@outlook.com,test3@outlook.com
test4@outlook.com,test4@outlook.com
test5@outlook.com,test5@outlook.com
test6@outlook.com,test6@outlook.com
empty,empty
abc@xyz.com,abc@xyz.com
foo@gmail.com,foo@gmail.com
bar@gmail.com,bar@gmail.com
baz@icloud.com,baz@icloud.com
qux@icloud.com,qux@icloud.com
user+spam@gmail.com,user+spam@gmail.com
user+alias@yahoo.com,user+alias@yahoo.com
test-case@gmail.com,test-case@gmail.com
test_case@yahoo.com,test_case@yahoo.com
long.email.address@gmail.com,long.email.address@gmail.com
short@em.com,short@em.com
duplicate3@aol.com,duplicate3@aol.com
random_data,random_data
name@domain.com,name@domain.com
team@domain.com,team@domain.com
support@domain.com,support@domain.com
helpdesk@domain.com,helpdesk@domain.com
info@domain.com,info@domain.com
sales@domain.com,sales@domain.com
contact@domain.com,contact@domain.com
trash,trash
x@y.z,x@y.z
abc@hotmail.com,abc@hotmail.com
zyx@gmail.com,zyx@gmail.com
foo.bar@gmail.com,foo.bar@gmail.com
foo..bar@gmail.com,foo..bar@gmail.com
john_smith@yahoo.com,john_smith@yahoo.com
jane_smith@yahoo.com,jane_smith@yahoo.com
username@domain.com,username@domain.com
example123@domain.com,example123@domain.com
demo123@domain.com,demo123@domain.com
tester@hotmail.com,tester@hotmail.com
trial@yahoo.com,trial@yahoo.com
check@check.com,check@check.com
wrong_email,wrong_email
ddd,ddd
dd,dd
