original_email,corrected_email
gooduser@gmail.com,gooduser@gmail.com
bademail@,bademail@
fake@fakedomainxyz.com,fake@fakedomainxyz.com
test@company.org,test@company.org
alice@yahoo.com,alice@yahoo.com
invalid.email@domain,invalid.email@domain
bob@outlook.com,bob@outlook.com
no_at_sign.com,no_at_sign.com
user@nonexistent12345.com,user@nonexistent12345.com
mohamed.lahouel@esprit.tn,mohamed.lahouel@esprit.tn
jane.doe@harvard.edu,jane.doe@harvard.edu
john.smith@gml.com,john.smith@gmail.com
emma.watson@glaim.com,emma.watson@gmail.com
techguru@gl.com,techguru@gmail.com
larry.king@outlok.com,larry.king@outlook.com
susan.connor@outloook.com,susan.connor@outlook.com
mike.jordan@yaho.com,mike.jordan@yahoo.com
sarah.connor@yaoo.com,sarah.connor@yahoo.com
secure.user@protonml.com,secure.user@protonmail.com
private123@protonmaill.com,private123@protonmail.com
ahmed.benali@esrik.tn,ahmed.benali@esprit.tn
samar.haddad@esprittn.com,samar.haddad@esprit.tn
faculty.cs@espritn.com,faculty.cs@sina.com
