email,original_email
ethan.brown@prrotonmail.com,ethan.brown@prrotonmail.com
charlie.doe@cam.ac.uk,charlie.doe@cam.ac.uk
@yandex.com,@yandex.com
emma.doe@mail.ru,emma.doe@mail.ru
liam.cam@comcast.net,liam.cam@comcast.net
james.ox@esprit.ttn,james.ox@esprit.ttn
noah.umich@outloo.kcom,noah.umich@outloo.kcom
@esprit.tn,@esprit.tn
tom_dupont#comcast.net,tom_dupont#comcast.net
mia.white@harvard.edu,mia.white@harvard.edu
john..mit@yandex.com,john..mit@yandex.com
sophia.benali@hotmail.com,sophia.benali@hotmail.com
jane.black@zoho.com,JANE.BLACK@ZOHO.COM
mike.free@orange.fr,MIKE.FREE@ORANGE.FR
ethan..dupont@yahoo.com,ethan..dupont@yahoo.com
sana.stanford@xo.ac.uk,sana.stanford@xo.ac.uk
sana.white@qq.com,sana.white@qq.com
john.harvard@umich.edu,john.harvard@umich.edu
bob.free@bbtinternet.com,bob.free@bbtinternet.com
john.benali@mit.edu,john.benali@mit.edu
sana.black@liive.com,sana.black@liive.com
sana.benali@hotmail.com,sana.benali@hotmail.com
charlie.jones@freee.fr,charlie.jones@freee.fr
jack.umich@btinternet.com,jack.umich@btinternet.com
alice.harvard@epsrit.tn,alice.harvard@epsrit.tn
james.mit@comcast.net,james.mit@comcast.net
noah.brown@espprit.tn,noah.brown@espprit.tn
luc.toronto@ox.ac.uk,luc.toronto@ox.ac.uk
john.white@1633.com,john.white@1633.com
sophia.umich@umcih.edu,sophia.umich@umcih.edu
sophia.dupont@sinaa.com,sophia.dupont@sinaa.com
emma_melb#outlook.com,emma_melb#outlook.com
tom.smith@liive.com,tom.smith@liive.com
bob.cherif@utorronto.ca,bob.cherif@utorronto.ca
james@toronto@unimelb.edu.au,james@toronto@unimelb.edu.au
alice.harvard@orang.efr,alice.harvard@orang.efr
john.brown@mit.edu,john.brown@mit.edu
ava.cherif@frree.fr,ava.cherif@frree.fr
ethan.mokni@yahoo.com,ethan.mokni@yahoo.com
emma.toronto@gmail.cmo,emma.toronto@gmail.cmo
sana.stanford@protonmail.com,sana  stanford@protonmail.com
tom.cherif@free.fr,tom.cherif@free.fr
noah.white@sina.com,noah.white@sina.com
james.free@protonmail.com,james.free@protonmail.com
emma.white@163.com,emma.white@163.com
mia@qq.com.,mia@qq.com.
mia.jones@yahoo.com,mia.jones@yahoo.com
ava_mit#outlook.com,ava_mit#outlook.com
emmacam@,emmacam@
liam.dupont@unimelb.eedu.au,liam.dupont@unimelb.eedu.au
youssef.mokni@yahoo.com,youssef.mokni@yahoo.com
john@smith@gmail.com,john@smith@gmail.com
sophia@umich.edu.,sophia@umich.edu.
luc.harvard@ox.a.cuk,luc.harvard@ox.a.cuk
sophia.harvard@163c.om,sophia.harvard@163c.om
luc.khaled@live.com,luc.khaled@live.com
sophia.doe@163.com,  sophia.doe@163.com  
olivia.black@protonmail.com,olivia.black@protonmail.com
luc@mit.edu.,luc@mit.edu.
jack.toronto@ohtmail.com,jack.toronto@ohtmail.com
mike.toronto163.com,mike.toronto163.com
jack.ox@rfee.fr,jack.ox@rfee.fr
sophia.stanford@gmail.com,sophia  stanford@gmail.com
mikedoeumich.edu,mikedoeumich.edu
luc.stanford@gmxc.om,luc.stanford@gmxc.om
sana.cherif@gmx.com,sana.cherif@gmx.com
luc.brown@harvar.dedu,luc.brown@harvar.dedu
noah.stanford@163.com,noah.stanford@163.com
mike.free@umich.edu,mike.free@umich.edu
tom.toronto@harvard.edu,tom.toronto@harvard.edu
amelie.cam@aol.com,amelie.cam@aol.com
charlie.stanford@free.fr,charlie.stanford@free.fr
alice..black@hotmail.com,alice..black@hotmail.com
ava..white@utoronto.ca,ava..white@utoronto.ca
olivia.cherif@ox.ac.uk,olivia.cherif@ox.ac.uk
jane.khaled@aol.com,jane.khaled@aol.com
tom.khaled@freee.fr,tom.khaled@freee.fr
sana.torontoaol.com,sana.torontoaol.com
tom.brown@stanford.edu,tom.brown@stanford.edu
mike.cam@unimebl.edu.au,mike.cam@unimebl.edu.au
luc.khaled@orange.fr,luc.khaled@orange.fr
sophia.ox@orangge.fr,sophia.ox@orangge.fr
noah.doe@qq.ocm,noah.doe@qq.ocm
ethan.stanford@mit.eud,ethan.stanford@mit.eud
mia.doe@zoh.ocom,mia.doe@zoh.ocom
tom.smith@comcast.net,tom.smith@comcast.net
alice.jones@btinternet.com,alice.jones@btinternet.com
emma.cherif@qq.com,EMMA.CHERIF@QQ.COM
james.free@harvard.edu,james.free@harvard.edu
olivia.white@yandex.com,olivia.white@yandex.com
sophia@mit@esprit.tn,sophia@mit@esprit.tn
mike.benalistanford.edu,mike.benalistanford.edu
sophia.camhotmail.com,sophia.camhotmail.com
tom_benali#aol.com,tom_benali#aol.com
olivia.mokni@gamil.com,olivia.mokni@gamil.com
luc.brown@rfee.fr,luc.brown@rfee.fr
john.toronto@gmaail.com,john.toronto@gmaail.com
james.white@unnimelb.edu.au,james.white@unnimelb.edu.au
sana@khaled@harvard.edu,sana@khaled@harvard.edu
sana.cherif@qq.com,  sana.cherif@qq.com  
liam.khaled@live.com,liam.khaled@live.com
luc.jones@ayndex.com,luc.jones@ayndex.com
youssef.umich@126.coom,youssef.umich@126.coom
john.cherif@yahoo.com,JOHN.CHERIF@YAHOO.COM
bob.ox@btinternte.com,bob.ox@btinternte.com
emma.black@protonmail.com,emma.black@protonmail.com
mike.melb@protonmai.lcom,mike.melb@protonmai.lcom
liam@melb@protonmail.com,liam@melb@protonmail.com
emma.cam@btinternet.com,emma.cam@btinternet.com
olivia@cam@icloud.com,olivia@cam@icloud.com
emma.toronto@cam.ac.uk,emma.toronto@cam.ac.uk
john.benali@iclooud.com,john.benali@iclooud.com
amelie.mit@mail.ru,amelie.mit@mail.ru
emma.dupont@yandex.com,emma.dupont@yandex.com
youssef.umich@outlook.com,  youssef.umich@outlook.com  
sanabenaliorange.fr,sanabenaliorange.fr
mia.dupont@zoho.cmo,mia.dupont@zoho.cmo
john.brown@icloud.com,john.brown@icloud.com
sophia@doe@btinternet.com,sophia@doe@btinternet.com
tom.khaled@utoronto.ca,tom  khaled@utoronto.ca
charlie.ox@free.fr,CHARLIE.OX@FREE.FR
bob.harvard@icloud.com,bob.harvard@icloud.com
youssef..brown@zoho.com,youssef..brown@zoho.com
james.khaled@comcaast.net,james.khaled@comcaast.net
tom.doe@uumich.edu,tom.doe@uumich.edu
alice.cam@free.fr,alice.cam@free.fr
ethan_jones#esprit.tn,ethan_jones#esprit.tn
mia.brown@aol.com,  mia.brown@aol.com  
tom.khaled@mgx.com,tom.khaled@mgx.com
olivia.umich@orange.fr,OLIVIA.UMICH@ORANGE.FR
sana@aol.com.,sana@aol.com.
charlie.toronto@free.fr,charlie.toronto@free.fr
jack.ox@sina.com,  jack.ox@sina.com  
alice.jones@harvard.eduu,alice.jones@harvard.eduu
john.umich@qq.com,john.umich@qq.com
olivia.doe@free.fr,olivia.doe@free.fr
youssef.cherif@cam.ac.uk,youssef.cherif@cam.ac.uk
liam.mokni@btinternet.com,liam.mokni@btinternet.com
mike.brown@esprit.tn,mike.brown@esprit.tn
charlie.cam@sina.com,charlie.cam@sina.com
olivia.ox@cma.ac.uk,olivia.ox@cma.ac.uk
bob..melb@mail.ru,bob..melb@mail.ru
mike.khaled@gmail.com,mike.khaled@gmail.com
emma.doe@gmail.com,emma.doe@gmail.com
mia.mokni@zoho.com,mia.mokni@zoho.com
ethan.mokni@umiche.du,ethan.mokni@umiche.du
alice.brown@unimelb.deu.au,alice.brown@unimelb.deu.au
mia.stanford@zoho.com,mia.stanford@zoho.com
olivia.dupont@umich.deu,olivia.dupont@umich.deu
mia.smith@oultook.com,mia.smith@oultook.com
