email,original_email,valid,reason
ethan.brown@prrotonmail.com,ethan.brown@prrotonmail.com,True,Valid syntax; Valid domain
charlie.doe@cam.ac.uk,charlie.doe@cam.ac.uk,True,Valid syntax; Valid domain
@yandex.com,@yandex.com,False,Invalid syntax
emma.doe@mail.ru,emma.doe@mail.ru,True,Valid syntax; Valid domain
liam.cam@comcast.net,liam.cam@comcast.net,True,Valid syntax; Valid domain
james.ox@esprit.tn,james.ox@esprit.ttn,False,Valid syntax; Domain not found
noah.umich@outlook.com,noah.umich@outloo.kcom,False,Valid syntax; Domain not found
@esprit.tn,@esprit.tn,False,Invalid syntax
tom_dupont#comcast.net,tom_dupont#comcast.net,False,Invalid syntax
mia.white@harvard.edu,mia.white@harvard.edu,True,Valid syntax; Valid domain
john..mit@yandex.com,john..mit@yandex.com,True,Valid syntax; Valid domain
sophia.benali@hotmail.com,sophia.benali@hotmail.com,True,Valid syntax; Valid domain
jane.black@zoho.com,JANE.BLACK@ZOHO.COM,True,Valid syntax; Valid domain
mike.free@orange.fr,MIKE.FREE@ORANGE.FR,True,Valid syntax; Valid domain
ethan..dupont@yahoo.com,ethan..dupont@yahoo.com,True,Valid syntax; Valid domain
sana.stanford@ox.ac.uk,sana.stanford@xo.ac.uk,False,Valid syntax; Domain not found
sana.white@qq.com,sana.white@qq.com,True,Valid syntax; Valid domain
john.harvard@umich.edu,john.harvard@umich.edu,True,Valid syntax; Valid domain
bob.free@btinternet.com,bob.free@bbtinternet.com,False,Valid syntax; Domain has no MX records
john.benali@mit.edu,john.benali@mit.edu,True,Valid syntax; Valid domain
sana.black@liive.com,sana.black@liive.com,True,Valid syntax; Valid domain
sana.benali@hotmail.com,sana.benali@hotmail.com,True,Valid syntax; Valid domain
charlie.jones@free.fr,charlie.jones@freee.fr,False,Valid syntax; Domain has no MX records
jack.umich@btinternet.com,jack.umich@btinternet.com,True,Valid syntax; Valid domain
alice.harvard@esprit.tn,alice.harvard@epsrit.tn,False,Valid syntax; Domain not found
james.mit@comcast.net,james.mit@comcast.net,True,Valid syntax; Valid domain
noah.brown@esprit.tn,noah.brown@espprit.tn,False,Valid syntax; Domain not found
luc.toronto@ox.ac.uk,luc.toronto@ox.ac.uk,True,Valid syntax; Valid domain
john.white@1633.com,john.white@1633.com,True,Valid syntax; Valid domain
sophia.umich@umich.edu,sophia.umich@umcih.edu,False,Valid syntax; Domain not found
sophia.dupont@sina.com,sophia.dupont@sinaa.com,False,Valid syntax; Domain has no MX records
emma_melb#outlook.com,emma_melb#outlook.com,False,Invalid syntax
tom.smith@liive.com,tom.smith@liive.com,True,Valid syntax; Valid domain
bob.cherif@utorronto.ca,bob.cherif@utorronto.ca,True,Valid syntax; Valid domain
james@toronto@unimelb.edu.au,james@toronto@unimelb.edu.au,False,Invalid syntax
alice.harvard@orange.fr,alice.harvard@orang.efr,False,Valid syntax; Domain not found
john.brown@mit.edu,john.brown@mit.edu,True,Valid syntax; Valid domain
ava.cherif@free.fr,ava.cherif@frree.fr,False,Valid syntax; Domain has no MX records
ethan.mokni@yahoo.com,ethan.mokni@yahoo.com,True,Valid syntax; Valid domain
emma.toronto@gmail.com,emma.toronto@gmail.cmo,False,Valid syntax; Domain not found
sana.stanford@protonmail.com,sana  stanford@protonmail.com,True,Valid syntax; Valid domain
tom.cherif@free.fr,tom.cherif@free.fr,True,Valid syntax; Valid domain
noah.white@sina.com,noah.white@sina.com,True,Valid syntax; Valid domain
james.free@protonmail.com,james.free@protonmail.com,True,Valid syntax; Valid domain
emma.white@163.com,emma.white@163.com,True,Valid syntax; Valid domain
mia@qq.com.,mia@qq.com.,True,Valid syntax; Valid domain
mia.jones@yahoo.com,mia.jones@yahoo.com,True,Valid syntax; Valid domain
ava_mit#outlook.com,ava_mit#outlook.com,False,Invalid syntax
emmacam@,emmacam@,False,Invalid syntax
liam.dupont@unimelb.eedu.au,liam.dupont@unimelb.eedu.au,True,Valid syntax; Valid domain
youssef.mokni@yahoo.com,youssef.mokni@yahoo.com,True,Valid syntax; Valid domain
